Country,Total Score,Status,Obstacles to Access,Limits on Content,Violations of User Rights
Angola,64,Partly Free,12,30,22
Argentina,72,Free,19,26,27
Armenia,76,Free,20,29,27
Australia,77,Free,23,29,25
Azerbaijan,39,Not Free,11,15,13
Bahrain,29,Not Free,16,8,5
Bangladesh,44,Partly Free,13,17,14
Belarus,35,Not Free,12,13,10
Brazil,64,Partly Free,18,26,20
Cambodia,43,Partly Free,12,18,13
Canada,87,Free,23,33,31
China,10,Not Free,8,2,0
Colombia,67,Partly Free,17,27,23
Cuba,22,Not Free,5,10,7
Ecuador,61,Partly Free,16,24,21
Egypt,26,Not Free,10,11,5
Estonia,94,Free,25,32,37
Ethiopia,28,Not Free,3,12,13
France,76,Free,22,30,24
Georgia,75,Free,19,30,26
Germany,80,Free,22,30,28
Hungary,72,Free,21,24,27
Iceland,95,Free,25,34,36
India,55,Partly Free,12,24,19
Indonesia,51,Partly Free,14,19,18
Iran,15,Not Free,7,5,3
Italy,75,Free,21,30,24
Japan,73,Free,21,28,24
Jordan,47,Partly Free,14,18,15
Kazakhstan,32,Not Free,10,11,11
Kenya,68,Partly Free,17,28,23
Kyrgyzstan,61,Partly Free,15,25,21
Lebanon,52,Partly Free,12,23,17
Libya,49,Partly Free,8,24,17
Malawi,57,Partly Free,9,25,23
Malaysia,57,Partly Free,17,21,19
Mexico,60,Partly Free,17,25,18
Morocco,54,Partly Free,14,24,16
Myanmar,36,Not Free,10,16,10
Nigeria,64,Partly Free,17,26,21
Pakistan,26,Not Free,5,14,7
Philippines,66,Partly Free,16,27,23
Russia,31,Not Free,12,11,8
Rwanda,41,Partly Free,13,12,16
Saudi Arabia,25,Not Free,11,10,4
Singapore,56,Partly Free,19,18,19
South Africa,72,Free,17,28,27
South Korea,64,Partly Free,22,23,19
Sri Lanka,49,Partly Free,10,22,17
Sudan,25,Not Free,5,12,8
Syria,17,Not Free,6,8,3
Thailand,35,Not Free,16,11,8
The Gambia,48,Partly Free,10,23,15
Tunisia,64,Partly Free,16,29,19
Turkey,37,Not Free,15,11,11
Uganda,56,Partly Free,14,23,19
Ukraine,56,Partly Free,17,19,20
United Arab Emirates,28,Not Free,12,10,6
United Kingdom,77,Free,22,30,25
United States,77,Free,21,31,25
Uzbekistan,26,Not Free,7,10,9
Venezuela,30,Not Free,4,14,12
Vietnam,24,Not Free,12,7,5
Zambia,58,Partly Free,14,24,20
Zimbabwe,42,Partly Free,7,19,16
